Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment
1;2010-02-05;16436909.00;0;4231;2572;2110963582;8106
1;2010-02-12;164195744.00;1;3851;2548;2112421698;8106
1;2010-02-19;161196817.00;0;3993;2514;2112891429;8106
1;2010-02-26;140972759.00;0;4663;2561;2113196429;8106
1;2010-03-05;155480668.00;0;465;2625;2113501429;8106
1;2010-03-12;143954159.00;0;5779;2667;2113806429;8106
1;2010-03-19;147251579.00;0;5458;272;211215635;8106
1;2010-03-26;140442992.00;0;5145;2732;2110180424;8106
1;2010-04-02;159496828.00;0;6227;2719;2108204499;7808
1;2010-04-09;154541853.00;0;6586;277;2106228574;7808
1;2010-04-16;146605828.00;0;6632;2808;2104887;7808
1;2010-04-23;139125612.00;0;6484;2795;2104391228;7808
1;2010-04-30;142510071.00;0;6741;278;2103895456;7808
1;2010-05-07;160395512.00;0;7255;2835;2103399684;7808
1;2010-05-14;14942515.00;0;7478;2854;2103374261;7808
1;2010-05-21;139966207.00;0;7644;2826;2106170934;7808
1;2010-05-28;143206995.00;0;8044;2759;2108967606;7808
1;2010-06-04;161552471.00;0;8069;2705;2111764278;7808
1;2010-06-11;154256109.00;0;8043;2668;2114560951;7808
1;2010-06-18;150328406.00;0;8411;2637;2114537719;7808
1;2010-06-25;14227116.00;0;8434;2653;2113386526;7808
1;2010-07-02;149241814.00;0;8091;2669;2112235333;7787
1;2010-07-09;154607418.00;0;8048;2642;211108414;7787
1;2010-07-16;144893892.00;0;8315;2623;2111003854;7787
1;2010-07-23;13850652.00;0;8336;2608;2112351443;7787
1;2010-07-30;13719866.00;0;8184;264;2113699032;7787
1;2010-08-06;160549178.00;0;8716;2627;2115046621;7787
1;2010-08-13;150823776.00;0;87;2692;2116394211;7787
1;2010-08-20;151308049.00;0;8665;2664;2116033633;7787
1;2010-08-27;144914292.00;0;8522;2619;2115673056;7787
1;2010-09-03;154016353.00;0;8121;2577;2115312479;7787
1;2010-09-10;150746069.00;1;7869;2565;2114951902;7787
1;2010-09-17;143037867.00;0;8211;2582;2115224596;7787
1;2010-09-24;135179103.00;0;8094;2624;2115972246;7787
1;2010-10-01;14533295.00;0;7189;2603;2116719895;7838
1;2010-10-08;150823993.00;0;6393;2633;2117467544;7838
